abditory	[3871, 8056]
absurdly	[1623, 1644, 1931, 1947, 2109, 3208, 4499, 5880, 6527, 6617, 6620, 6621, 6745, 6946, 10020, 10240]
abulyeit	[]
abusedly	[1623, 1655, 1944, 1947, 2041, 2196, 3532, 3596, 3612, 4528, 4582, 4894, 5514, 6625, 6694, 6752, 6948, 8988, 9077, 9209, 9213, 9217, 10240, 10341]
abutilon	[]
acerbity	[7237]
acervuli	[]
acetylid	[3986, 4343]
acetonyl	[2803, 2827, 3624, 3991, 4045, 4783]
acetoxyl	[1185, 1217, 2803, 2807, 2827, 2833, 3624, 3991, 4045, 4783, 5929, 8474, 10242, 10266]
acetoxim	[3343]
acheirus	[]
achenium	[]
achesoun	[]
achilous	[]
achylous	[3285, 3969]
achymous	[3285, 5036, 9156, 9313, 9314, 10362, 10364]
achingly	[1191, 1267, 2483, 2713, 3650, 3681, 4738, 5957, 6227, 6246, 6247, 6291, 6571, 6935, 6988, 7040, 7150, 7416, 8461, 8634, 8659, 8711, 9253, 9255, 9337, 9863]
achiotes	[]
achroite	[]
acylogen	[2803, 2827, 3624, 9202]
acyloins	[4726]
acmispon	[4726]
acneform	[4783, 8147, 8643, 9850]
acolytes	[10242]
acolytus	[3285]
aconites	[]
aconitum	[8048]
acontium	[8048]
acontius	[]
acopyrin	[1251, 4408, 8635]
acounter	[]
acquired	[]
acquires	[]
acridest	[]
acrydium	[3340, 8235]
acridone	[]
acrimony	[1251]
acritude	[]
acrogens	[]
acrolein	[]
acrolith	[3822]
acronyms	[677, 679, 884, 2480, 3347, 6826, 9848]
acrotism	[]
actioner	[]
actiones	[]
actively	[2739, 2800, 3986, 4021, 4343, 4749, 6937, 7237, 7639]
actorish	[]
acuerdos	[4884]
adelphic	[1255, 3811, 5732, 5751, 9509, 9756]
adelphoi	[]
adenylic	[3691, 4343, 4430, 5751, 8985, 9840, 9865]
adeption	[3343]
adfrozen	[1816, 3855, 3869, 5502, 8147, 8381, 8499, 8639, 9827, 9850, 10246]
adhering	[1885, 2300, 7000]
adhesion	[]
adjoiner	[]
adjoints	[1557, 6852, 10356]
adjourns	[790, 1580, 3219, 4223, 4878, 5460, 6595, 8957, 10236]
adjument	[902, 912, 974, 1141, 1175, 2116, 3271, 3448, 3601, 3602, 3615, 3616, 5977, 6325, 6637, 6838, 6950, 7159, 7577, 8007, 8021, 8045, 10327]
adjuncts	[918, 3239, 3261, 3466, 3468, 3599, 3616, 3854, 3885, 3909, 4288, 4861, 5089, 6229, 6299, 6301, 6324, 6675, 6676, 6723, 6970, 9966, 10219, 10220, 10324, 10334, 10385]
adjuring	[907, 3033, 3211, 3340, 3358, 4214, 4322, 5048, 5167, 5448, 5463, 8092, 8414]
adjuster	[901, 919, 1048, 1623, 1692, 1789, 3365, 3373, 3376, 4323, 4358, 5667, 5731, 6898, 10240]
adjustor	[699, 711, 811, 1565, 1580, 1692, 3336, 3365, 4192, 4275, 4451, 6584, 10004, 10191, 10215, 10216]
adjutory	[699, 1570, 3336, 3338, 3339, 3351, 4192, 4207, 4829, 5102, 5406, 7795, 7901, 7988, 8141, 8358, 8385, 10191, 10193, 10215, 10216]
adjutrix	[666, 710, 712, 3358, 4214, 5428, 5448, 6612, 8092, 8275, 10415]
adlumine	[]
admonish	[10356]
adnumber	[1719, 1724, 1793, 1888, 3797, 3855, 4298, 4757, 4870, 5166, 5191, 6325, 6589, 6838, 8023, 8147, 8414, 8574, 10282]
adolphus	[10245, 10357]
adopters	[1198, 1219, 1664, 1692, 3365, 3649, 3653, 4409, 4791, 5755]
adopting	[724, 920, 1197, 1813, 2222, 3343, 3648, 4407, 4790, 7843, 8194, 8489, 8655, 10356]
adoptive	[3343]
adoretus	[1692, 3365]
adroitly	[3764, 8056]
adscript	[926, 1225, 4032, 4355, 4908, 9553]
adultery	[1623, 1643, 1906, 1910, 5657, 5658, 8017, 8212, 10240]
aduncity	[5043, 5444, 7102]
adustion	[]
adustive	[]
adventry	[902, 912, 1571, 1816, 1906, 1941, 3271, 3869, 4019, 5219, 5502, 5504, 6739, 6838, 7801, 9827, 10229]
advisory	[706, 882]
aegilops	[]
aeluroid	[]
aeolight	[]
aequorin	[]
aerobics	[]
aerobium	[]
aerocyst	[2834, 3403, 3649, 4409, 4791, 6854, 10242]
aeroduct	[]
aerolith	[]
aesculin	[]
afikomen	[]
aflicker	[3811, 6937, 7237, 7241, 8058]
afluking	[670, 1012, 1013, 1622, 1641, 1648, 1721, 1943, 2034, 2120, 2121, 2217, 2387, 4215, 4299, 4738, 6608, 6996, 7003, 7127, 7185, 7837, 7846, 8049, 8214, 8401, 9219]
agendums	[1015, 1104, 1719, 1724, 1793, 1888, 3448, 3601, 3611, 3616, 4870, 4906, 6589, 6752, 10340, 10372]
aglycone	[2803, 2827, 3624, 9202]
aglycons	[4477, 5778, 7285]
aglisten	[4794]
aglucone	[]
agnoites	[]
agnostic	[3625, 6852]
agonised	[]
agonized	[3343]
agonizer	[]
agonizes	[]
agouties	[]
agrestic	[]
agricole	[]
agrimony	[1251, 1562, 4840, 7803, 7862, 7986]
agriotes	[]
agrotype	[2827, 5502, 5929, 10229]
aguishly	[1942, 3181]
ailerons	[]
ailments	[]
airbound	[3358]
airflows	[2835, 2851, 4782, 4825]
airglows	[2851, 4825]
airlocks	[4782]
airwomen	[]
ajourise	[]
akenbold	[3624, 3991, 6633, 7850, 8381, 8450, 8463, 8499, 9202, 9855]
akepiros	[]
alberghi	[1989, 2301, 6648, 7241]
alberich	[3811, 7241]
albertin	[]
albeston	[6633]
albicore	[]
albrecht	[2527, 2668, 2833, 3665, 3821, 4505, 4865, 9817]
albright	[1927, 1967, 1987, 2007, 2990, 3068, 3103, 5793, 6648, 9613, 9722]
albronze	[2573, 2848, 4783, 7195, 8381, 8499, 10246]
albumens	[2684, 4263, 4265, 4870, 6752, 10223]
albumins	[10217]
albumoid	[2931, 10361]
albumose	[]
alcyones	[]
aldoxime	[]
aleikoum	[]
alembics	[2795, 9822, 9840, 9864]
alerting	[]
aleurons	[]
alfresco	[8991, 8992, 8994, 9602, 10242]
algorism	[4825]
algorist	[4825]
algovite	[]
alienors	[]
alighted	[1255, 4794, 9508]
alighten	[962, 1231, 1255, 4794, 5744]
aligners	[]
aliments	[]
alinotum	[]
aliquots	[]
alitrunk	[1548]
alkoxide	[]
almendro	[7195, 8499, 10246]
almicore	[]
almighty	[670, 682, 1025, 1029, 1221, 1231, 1967, 1968, 1977, 1978, 1979, 2108, 2230, 2388, 2397, 2706, 3103, 3527, 3546, 3613, 3614, 5952, 6289, 7010, 7013, 7035, 7043, 7059, 7069, 7114, 7162, 7396, 7426, 7581, 7639, 7846, 7947, 8657, 8694, 8761, 9418, 9420, 9431, 9446, 9498, 9502, 9508, 9659, 9662, 9681, 9697, 9820, 9825]
almistry	[2835, 9394, 9551]
almoners	[2848]
almuerzo	[2573, 7178, 7812, 8566]
alnicoes	[]
alphenic	[962, 1255, 5751, 8634]
alphonse	[]
alphorns	[2817]
alpinery	[1200]
alrighty	[1221, 1927, 1967, 1987, 3103, 5793, 9415, 9613, 9722]
altering	[]
alterius	[]
althorns	[2817]
altrices	[]
altruism	[]
altschin	[1205, 3496, 6246]
alumines	[]
alunites	[]
alurgite	[]
amberoid	[]
amberous	[3365, 4884]
ambiency	[2796, 2800, 3691, 4430, 4749, 8432, 8634, 9840, 9865, 10338, 10371]
ambients	[]
ambilogy	[1665, 2808, 4393, 4840, 7197, 7217, 8056, 8630, 8996, 9247, 9710, 9867, 9871]
ambivert	[4034, 4747, 6648, 7237, 8744]
amblygon	[1594, 1595, 1650, 2177, 2218, 2271, 2280, 2287, 2290, 2461, 2571, 2640, 2657, 2811, 2817, 2823, 3105, 3280, 3283, 3586, 3626, 3630, 3682, 3687, 4228, 4393, 4804, 4805, 4840, 6650, 6656, 6657, 6659, 6743, 6748, 7039, 7073, 7195, 7197, 7234, 7286, 7297, 7298, 7307, 7310, 7849, 7868, 7870, 7872, 8000, 8473, 8498, 8642, 8763, 8764, 8815, 8817, 9286, 9861, 9862, 9985, 10218, 10226, 10235, 10366]
amblyope	[2231, 2234, 2614, 2818, 2820, 2849, 4041, 4045, 4280, 7648, 8055, 8133, 8632, 9236, 9397, 10266]
amblypod	[1570, 1587, 1589, 1590, 1594, 1595, 1651, 1663, 1665, 1717, 1718, 2180, 2219, 2231, 2234, 2290, 3010, 3026, 3041, 3081, 3201, 3208, 3221, 3280, 3283, 3577, 3581, 3592, 3626, 3629, 3630, 3667, 3682, 3687, 3794, 3998, 4031, 4041, 4393, 4543, 4675, 4733, 4737, 4795, 4796, 4800, 4805, 4873, 4910, 4912, 5870, 7292, 7296, 7297, 7298, 7310, 7410, 7422, 7427, 7430, 7483, 7497, 7498, 7648, 7681, 7844, 7870, 7871, 7888, 8050, 8055, 8078, 8233, 8493, 8610, 8611, 8630, 8632, 8811, 8817, 8949, 8952, 8960, 9236, 9286, 9293, 9397, 9573, 9711, 9760, 9776, 9810, 9908, 9980, 10218, 10257, 10357, 10359, 10417, 10421]
amblotic	[8241, 9445, 9710, 10409]
ambonite	[]
ambroids	[1465, 3637, 4825]
ambrosin	[]
ambuling	[1641, 2007, 2121, 2217, 2387, 2397, 4738, 4828, 7003, 7060, 7127, 7837, 7846, 8157, 8401, 8460, 9219, 10217]
ambushed	[1719, 1808, 1888, 2041, 2196, 3373, 3376, 3596, 3601, 3616, 4646, 4758, 4894, 5119, 5882, 6670, 6694, 6898, 6949, 6952, 7160, 7163, 7579, 7632, 9213, 10389, 10420]
ambusher	[1719, 1888, 2708, 3373, 3376, 4758, 6670, 6898, 9312]
amelcorn	[4783]
amercing	[8744]
amerinds	[]
ametrous	[3365]
amidogen	[3343]
amidoxyl	[691, 1182, 1243, 1262, 1665, 3998, 4393, 4840, 7197, 7217, 7802, 8056, 8630, 8631, 9871]
amyelous	[]
amygdule	[1054, 1104, 1141, 1171, 1173, 1175, 1660, 2202, 3532, 6637, 6694, 6703, 6752, 6950, 7159, 7577, 7797, 8007, 8626, 9027, 9106, 9210, 10282, 10327]
amylogen	[2656, 7195, 8658]
amyloids	[691, 9871]
amitrole	[]
amnestic	[1208]
amniotes	[]
amoinder	[]
amorphic	[2853, 3404, 8673, 9426, 9753]
amorphus	[711, 1696, 2506, 3219, 3336, 3800, 5036, 9313, 9973, 10004, 10244, 10273]
amortise	[]
amortize	[]
amounted	[]
amounter	[]
amourist	[]
amphigen	[962, 1231, 1255, 2305, 2821, 7572, 8634]
amphoric	[2853, 3404, 8673, 9426, 9753]
amplexus	[1016, 1040, 1161, 1631, 2041, 2196, 2213, 2684, 3532, 3596, 3612, 4261, 4265, 4582, 8988, 9077, 9209, 9213, 10341]
ampongue	[1652]
ampoules	[]
amuletic	[3968]
amusedly	[1016, 1104, 2041, 2196, 3532, 3596, 3612, 4582, 4894, 6694, 6752, 6948, 8988, 9077, 9209, 9213, 10341]
ancestor	[]
ancestry	[]
anchored	[8639]
anchoret	[8218]
ancylose	[]
ancyroid	[744, 4408]
andorite	[]
anemious	[]
aneroids	[]
anerotic	[]
anesthyl	[2244, 4794, 5611]
anethols	[]
aneurism	[]
aneurysm	[1040]
angeldom	[7195, 8463, 8499, 8658, 10246]
angelico	[]
angelito	[]
angiport	[1251, 7864, 7986, 8489]
anglepod	[8499]
angriest	[5734]
angstrom	[2817, 6643, 10244]
anguiped	[]
angulose	[]
anhelous	[]
anhydric	[932, 1267, 7211, 8598]
ankylose	[2656]
ankyroid	[729, 744, 1562, 4408, 7803]
anodizes	[]
anolytes	[]
anophyte	[]
anopubic	[8048]
anorchus	[3763, 3800, 10254]
anoretic	[]
anorexic	[]
anorthic	[3822, 8673]
anoxemic	[3343]
antergic	[5109, 8744]
anthelix	[962, 1231, 1255, 4021, 4794, 5744]
anthemis	[]
antherid	[1885]
anthroic	[3822, 8673]
antiblue	[]
antibody	[2228, 6842, 7857, 10356]
anticked	[3343, 4343, 5109, 5212, 8744]
anticker	[5109, 8744]
anticold	[10409]
anticous	[]
antidrug	[3358, 4214, 5448, 8092]
antiduke	[]
antiflux	[670, 682, 1622, 1641, 1648, 2007, 2034, 2120, 2121, 4299, 4828, 5444, 7846, 8049]
antifowl	[724, 1557, 3764, 3822, 4726, 10409]
antihero	[]
antilogy	[]
antilogs	[]
antilope	[]
antipode	[3343]
antipole	[]
antiqued	[]
antiquer	[]
antiques	[]
antismog	[1178, 2289, 10356]
anuretic	[]
anviltop	[1557, 3764, 4048, 4726]
apectomy	[939, 1183, 1185, 3414, 3993, 4045, 4424, 4425, 4426, 5226, 10229, 10266]
apertion	[]
aphelion	[]
aphetism	[3981, 3992, 4747, 4748, 10369]
aphodius	[]
aphonics	[3987]
aphorise	[]
aphorism	[2835, 3637, 9426]
aphorist	[2835, 3637]
aphorize	[]
apikores	[]
apyretic	[913]
aplustre	[]
apocynum	[673, 677, 681, 884, 885, 894, 1125, 2412, 2480, 2775, 3212, 3221, 3232, 3347, 3348, 3577, 3591, 3594, 3803, 5094, 7422, 7452, 7880, 8169, 8171, 8941, 10197, 10231, 10232, 10367]
apocrine	[]
apolysin	[691, 3997, 4726]
apolunes	[]
apomicts	[1224, 4419, 4726]
apomixes	[]
aporetic	[]
apostume	[1118, 3365]
apothegm	[2584, 7652, 7866, 7869, 8756, 9361, 9507, 9712, 10266]
apothems	[1198, 2281, 2812, 2818, 2845, 7649, 9361]
aprendiz	[1200, 1885, 2300]
aprickle	[3811, 8058]
apricots	[]
apronful	[673, 686, 736, 4466, 4826, 7813, 8815]
apterium	[]
apteroid	[]
apterous	[1692, 3365]
aptychus	[771, 772, 780, 918, 919, 1041, 1042, 1142, 1150, 1154, 2426, 2722, 2726, 2727, 2736, 2737, 2888, 2900, 3239, 3240, 3285, 3382, 3384, 3436, 3452, 3462, 3466, 3468, 3469, 3486, 3487, 3491, 3595, 3599, 3617, 3862, 4473, 4570, 4572, 4578, 5089, 5113, 5116, 5146, 5199, 5201, 5203, 5615, 5649, 5656, 5688, 5915, 6213, 6229, 6233, 6248, 6249, 6260, 6266, 6267, 6300, 6302, 6303, 7460, 7508, 7542, 7553, 7636, 9962, 9966, 10251, 10262, 10275, 10316, 10324, 10334, 10335, 10362]
aquifers	[]
aquiform	[]
aquosity	[]
aquotize	[]
arbinose	[]
arbuscle	[3810, 6750, 10240]
archdolt	[704, 1217, 2908, 2976, 5547, 6689]
archduke	[786, 916, 919, 978, 1048, 1052, 3363, 3376, 3550, 4765, 5667, 5731, 6971, 8087, 8255, 8428, 8584, 10276]
archduxe	[786, 916, 919, 978, 1048, 1052, 3363, 3376, 3550, 4591, 4758, 4765, 4863, 4868, 5121, 5667, 5731, 6898, 6971, 8087, 8179, 8255, 8428, 8584, 9036, 10276, 10301]
archeion	[]
archelon	[]
archines	[]
archings	[2478, 9308, 9836]
archived	[913, 3811, 9727]
archives	[]
archking	[932, 1267, 2478, 2711, 5619, 5959, 6133, 6985, 7211, 7949, 8089, 8558, 8598, 8635, 8659, 9308, 9836, 10342]
archlute	[958, 3821, 4865]
archpoet	[3649, 3653, 4791, 5745, 5790, 8218]
archsnob	[2831, 3763, 3800, 4022, 5764, 9848, 10254]
archwife	[3811]
archwise	[]
arctomys	[933, 2400, 2822, 3109, 3664, 3867, 4583, 9846, 9852, 10216]
arculite	[]
ardently	[1571, 1906, 5598, 6739, 8012]
arecolin	[]
argemony	[1809, 7195, 8552, 10229]
argentic	[5109, 8744]
argentol	[2827, 10246]
argentum	[902, 912, 974, 3271, 6325, 6838, 7180, 8174]
argosine	[]
arguendo	[]
argufied	[8414]
argufies	[]
argument	[902, 912, 974, 3271, 6325, 6838, 7180, 8174]
argutely	[985, 1906, 2112, 3275, 5657, 5658, 6939, 10265]
arightly	[1221, 1927, 1967, 1987, 3103, 5793, 9415, 9613, 9722]
arythmic	[672, 913, 921, 926, 3103, 4030, 8366, 9370, 9517, 9518, 9519, 9520, 9521, 9643, 9719, 9720, 9730, 9836]
armenoid	[]
armholes	[2818]
armlocks	[2372, 2400, 2451, 2453, 6689, 9514, 9810, 9811, 9868]
armozine	[]
arointed	[]
aroynted	[1816, 3869, 5219, 5502, 9827, 10229]
arousing	[]
arsenium	[]
arsmetik	[4747]
arsonite	[]
arsonium	[]
arthemis	[4747]
articled	[]
articles	[]
arumlike	[]
aruspice	[]
aruspicy	[5173, 5426, 8930]
arvicole	[]
asboline	[]
asbolite	[]
asclepin	[2795, 10360]
ascribed	[5909, 6828]
aseptify	[1194, 1208, 3992, 5228]
askingly	[1191, 1949, 1950, 2114, 3445, 3547, 3650, 3681, 4215, 6246, 6268, 7040, 7415, 9253, 9988]
aslumber	[4296, 4870, 6610, 6670, 6749, 6750, 9035]
asmolder	[6683, 6685]
aspergil	[]
asperity	[5734]
aspermic	[5909]
asperugo	[3365]
aspheric	[]
asphodel	[2220, 9236]
asterion	[]
asteroid	[]
asthenic	[]
asthorin	[]
astogeny	[]
astonied	[]
astringe	[5734]
astrofel	[1592, 1661, 2818, 6683, 10242]
atchison	[3625, 3987, 6852]
atheling	[962, 1231, 1255, 4794, 5744]
athermic	[913]
athyrium	[666, 672, 3371, 10185]
athyroid	[3764]
atmolyze	[1185, 2231, 2276, 2815, 2818, 4045, 4783, 4864, 6683, 7648, 8055, 8464, 8474, 10266]
atomised	[]
atomized	[3343]
atomizer	[]
atomizes	[]
atrickle	[6937, 7237]
atriplex	[1221]
atrypoid	[706, 882, 3764, 3871]
atrophic	[3404, 8673]
atropine	[]
atropins	[]
atropism	[706, 2835, 3637, 3870]
auctions	[]
audibles	[]
audients	[]
auditory	[]
auditors	[]
augments	[3448, 3601, 3616, 4263, 6917, 10223]
auletris	[]
aumbries	[]
auntlier	[]
auntlike	[]
auntship	[1049, 1768, 2034, 3371, 3444, 3489, 3498, 3617, 3920, 4465]
aureolin	[]
auricled	[]
auricles	[]
austrine	[]
autecism	[]
authored	[1692, 1693]
authorly	[2379, 8358]
autocide	[]
autodyne	[]
autogeny	[]
autolyse	[]
autolyze	[]
autompne	[]
autopsic	[]
autosign	[]
autosled	[]
autoslip	[]
autoxeny	[]
auxetics	[]
auximone	[]
auxocyte	[]
aversion	[]
averting	[1885, 5109, 5734, 8744]
avestruz	[901, 960, 1048, 1623, 1692, 1789, 3365, 3373, 3376, 4323, 4358, 4758, 5108, 5634, 5667, 6898, 10240]
avodires	[]
avoiders	[]
avouched	[3363, 8456]
avoucher	[3363]
avouches	[]
avowedly	[1185, 1217, 1241, 1592, 1661, 2220, 2226, 2231, 2234, 2276, 3624, 3991, 4040, 4041, 4864, 5522, 5582, 5801, 5929, 5938, 6683, 6685, 7195, 7648, 7850, 8055, 8220, 8464, 8472, 8565, 8632, 8640, 8658, 8991, 8992, 8994, 9189, 9202, 9236, 9245, 9378, 9397, 9855]
avowries	[]
avulsing	[1012, 1721, 2034, 4215, 4299, 6608, 9029, 10217]
avulsion	[]
axometry	[939, 1198, 2812, 2815, 2818, 3414, 4783, 4864, 5226, 5227, 6683, 6844, 7196, 7860, 7861, 8055, 8721, 9835, 10229]
axophyte	[1198, 2220, 2276, 2281, 2283, 2806, 2807, 2812, 2818, 3649, 3993, 4791, 5227, 5745, 5786, 7649, 7665, 7860, 7867, 8721, 10266]
axostyle	[1592, 1661, 2220, 2226, 2818, 6683, 10242]
azimuths	[1049, 1146, 1806, 1999, 3371, 3444, 3489, 3498, 3920, 4465, 4762, 7154, 7155]
azohumic	[]
azotemic	[3343]
azotised	[]
azulejos	[]
azurites	[]
bachelor	[2833, 8633, 8640]
bachelry	[2621, 2833, 3665, 4025, 4505, 4770, 4865, 4868, 5493, 6112, 6198, 6210, 7241, 8439, 8584, 8640, 8750, 9817, 10276]
backdown	[2920, 3210, 3221, 3262, 3283, 3348, 3362, 3415, 3577, 3578, 3594, 3623, 3624, 3654, 3682, 3852, 3868, 3869, 3956, 3966, 3967, 3989, 3990, 3991, 4014, 4018, 4201, 4417, 4516, 4517, 4739, 4793, 5094, 5219, 5220, 5235, 5406, 5440, 5468, 5497, 5538, 5539, 5593, 5606, 5761, 5779, 6596, 6598, 6599, 6606, 6633, 6818, 6819, 6827, 6856, 6858, 6864, 7044, 7078, 7205, 7290, 7299, 7307, 7422, 7452, 7472, 7507, 7524, 7545, 7564, 7948, 7949, 8072, 8083, 8091, 8165, 8171, 8182, 8211, 8376, 8398, 8417, 8450, 8451, 8459, 8473, 8496, 8561, 8638, 8639, 8742, 8763, 8764, 8993, 9010, 9181, 9186, 9202, 9849, 9850, 9855, 9862, 9989, 9999, 10042, 10043, 10053, 10409]
backdrop	[2920, 3030, 3083, 3110, 3190, 3222, 3338, 3339, 3363, 3414, 3417, 3641, 3653, 3654, 3867, 4014, 4040, 4201, 4276, 4431, 4569, 4590, 4740, 4796, 4806, 5036, 5042, 5093, 5096, 5226, 5468, 5497, 5524, 5593, 5790, 5795, 5798, 5857, 7292, 7988, 8072, 8165, 8170, 8205, 8494, 8540, 8758, 8958, 9490, 9573, 9602, 9706, 9764, 9777, 9810, 9814, 9818, 10004, 10193, 10195, 10199, 10215, 10236, 10256, 10274, 10277]
backfire	[3811, 5109, 5909, 5987, 6828, 7237, 7241, 8039, 8058]
backflip	[2437, 2483, 2718, 2739, 2746, 2780, 2795, 2796, 2853, 2939, 2949, 2954, 2964, 2967, 3068, 3765, 3811, 3919, 3975, 4003, 4026, 4258, 4312, 4384, 4429, 4631, 4638, 4639, 4644, 4738, 4769, 4782, 5607, 5681, 5720, 5724, 5748, 5751, 5919, 5937, 5973, 6174, 6227, 6242, 6243, 6247, 6291, 7415, 7458, 7489, 7618, 7619, 7622, 7947, 8049, 8058, 8103, 8214, 8241, 8315, 8578, 8627, 8645, 8822, 8930, 8980, 8986, 8995, 8996, 9069, 9091, 9094, 9184, 9227, 9242, 9243, 9319, 9433, 9446, 9448, 9554, 9614, 9671, 9707, 9708, 9709, 9710, 9734, 9755, 9756, 9757, 9758, 9789, 9821, 9822, 9906, 9988, 9989, 10189, 10319, 10360, 10368, 10415]
backflow	[2424, 2438, 2451, 2453, 2482, 2523, 2565, 2568, 2571, 2625, 2639, 2640, 2779, 2832, 2833, 2836, 2853, 2917, 2918, 2948, 2976, 3004, 3012, 3083, 3815, 3822, 3967, 3969, 3989, 3991, 4040, 4280, 4417, 4507, 4510, 4511, 4512, 4517, 4553, 4588, 4619, 4737, 4739, 4782, 4783, 4793, 4798, 5468, 5560, 5569, 5592, 5593, 5596, 5606, 5778, 5779, 5844, 5869, 5870, 5879, 5933, 6556, 6606, 6633, 6668, 6688, 7054, 7061, 7068, 7198, 7219, 7220, 7221, 7286, 7289, 7290, 7292, 7307, 7478, 7479, 7494, 7503, 7523, 7651, 8004, 8011, 8052, 8071, 8078, 8079, 8109, 8131, 8136, 8211, 8217, 8241, 8377, 8450, 8452, 8454, 8458, 8472, 8473, 8492, 8493, 8497, 8498, 8615, 8633, 8638, 8640, 8642, 8766, 8917, 8958, 8993, 8994, 8995, 8996, 9202, 9242, 9245, 9453, 9529, 9566, 9602, 9608, 9609, 9610, 9634, 9655, 9656, 9658, 9671, 9679, 9740, 9741, 9759, 9776, 9793, 9834, 9855, 9862, 9867, 9908, 9980, 9989, 10053, 10409, 10421]
backfold	[2917, 2918, 2976, 3004, 3012, 3083, 3815, 3967, 3969, 3989, 3991, 4040, 4276, 4417, 4507, 4512, 4517, 4588, 4675, 4737, 4739, 4793, 4798, 5468, 5560, 5589, 5593, 5606, 5779, 5844, 5869, 5870, 5879, 5933, 6556, 6606, 6633, 6668, 6688, 7054, 7068, 7221, 7234, 7289, 7290, 7292, 7307, 7478, 7479, 7494, 7503, 7523, 8004, 8011, 8050, 8078, 8079, 8211, 8377, 8450, 8472, 8473, 8474, 8493, 8610, 8638, 8640, 8766, 8811, 8917, 8958, 8993, 8994, 9202, 9245, 9566, 9573, 9602, 9608, 9610, 9634, 9655, 9679, 9776, 9793, 9810, 9855, 9862, 9908, 9980, 9989, 10053, 10221, 10226, 10230, 10242, 10277, 10283, 10359, 10366, 10409, 10421]
backhoes	[2834, 2845, 3403, 3623, 3653, 3990, 7219, 7226, 7242, 7668, 9245, 9288, 9299, 9481, 9657, 9834]
backings	[2478, 3065, 3377, 3549, 3617, 3625, 3650, 3681, 4215, 4260, 4299, 5463, 5705, 5711, 5760, 6174, 6246, 6608, 6816, 6818, 6828, 7017, 7154, 7415, 7506, 9029, 9308, 9319, 9836, 9837, 9844, 9988, 10189, 10338, 10360, 10371]
backlins	[2795, 3065, 3496, 3650, 3681, 4215, 4299, 4303, 6174, 6246, 6608, 7415, 7425, 9029, 9227, 9319, 9840, 9988, 10189, 10360]
backlist	[2718, 2941, 3054, 3496, 3545, 4023, 4038, 4258, 4289, 4299, 4303, 6242, 6246, 7069, 7117, 9500, 9504, 9662, 9671, 9821]
backlogs	[2438, 2568, 2941, 3622, 3677, 4510, 4675, 5778, 7219, 7651, 8995, 9450, 9477, 9566, 9609, 9634, 9656, 9658, 9671, 9676, 9776, 9793, 9811, 9868, 10043, 10053]
